lat,lng,elevation,slope,risk_score,risk_level
37.48996530624181,127.03738513995542,36.7,3720.8773,0.0,Safe
37.48996562388805,127.03636746974186,39.38,5201.0408,0.0,Safe
37.48996593276825,127.03534979951256,44.76,9265.0378,0.0,Safe
37.48996623288241,127.03433212926794,38.72,7743.5673,0.0,Safe
37.48996652423054,127.03331445900844,25.49,3134.6404,0.5,Caution
37.48996680681263,127.03229678873451,21.86,1867.0715,1.0,Danger
37.48996708062868,127.0312791184466,19.87,1046.3208,1.0,Danger
37.48996734567871,127.03026144814514,18.96,655.7064,1.0,Danger
37.48996760196269,127.02924377783056,18.01,396.9459,1.0,Danger
37.48996784948062,127.02822610750331,17.66,299.5096,1.0,Danger
37.48996808823253,127.02720843716388,17.81,341.2592,1.0,Danger
37.4899683182184,127.0261907668126,17.72,427.5758,1.0,Danger
37.489968539438216,127.02517309645,17.91,653.9261,1.0,Danger
37.489968751892,127.0241554260765,20.22,1293.5976,1.0,Danger
37.48996895557976,127.02313775569256,23.99,1991.4149,0.5,Caution
37.489969150501466,127.02212008529855,22.93,1464.8484,1.0,Danger
37.48996933665713,127.02110241489498,21.86,1517.659,1.0,Danger
37.48996951404675,127.02008474448228,23.19,1428.2533,1.0,Danger
37.489969682670335,127.01906707406086,26.04,1569.1142,0.0,Safe
37.48996984252788,127.01804940363118,26.89,1911.9476,0.0,Safe
37.48996999361938,127.01703173319368,24.05,1752.1441,1.0,Danger
37.48997013594485,127.0160140627488,23.43,1606.6107,1.0,Danger
37.49013493289913,127.0380531569876,34.8,2968.3196,0.0,Safe
37.49013525630078,127.03703548448048,35.74,3785.0231,0.0,Safe
37.49013557093634,127.03601781195732,39.29,5805.8282,0.0,Safe
37.490135876805816,127.03500013941856,41.02,7993.2332,0.0,Safe
37.4901361739092,127.0339824668646,31.04,5332.1281,0.0,Safe
37.49013646224649,127.03296479429598,23.95,2840.4404,0.5,Caution
37.49013674181769,127.03194712171305,21.04,1791.132,1.0,Danger
37.4901370126228,127.03092944911629,19.61,989.238,1.0,Danger
37.49013727466182,127.02991177650613,18.57,618.2233,1.0,Danger
37.49013752793476,127.028894103883,17.74,394.3728,1.0,Danger
37.49013777244159,127.02787643124736,17.7,298.0799,1.0,Danger
