lat,lng,elevation
0,0,5.0
0,1,4.969999999999999
0,2,4.9399999999999995
0,3,4.91
0,4,4.879999999999999
0,5,4.85
0,6,4.82
0,7,4.789999999999999
0,8,4.76
0,9,4.73
0,10,4.699999999999999
0,11,4.699999999999999
0,12,4.699999999999999
0,13,4.699999999999999
0,14,4.699999999999999
0,15,4.699999999999999
0,16,4.699999999999999
0,17,4.699999999999999
0,18,4.699999999999999
0,19,4.699999999999999
0,20,4.699999999999999
0,21,4.6899999999999995
0,22,4.68
0,23,4.669999999999998
0,24,4.66
0,25,4.649999999999999
0,26,4.640000000000001
0,27,4.629999999999999
0,28,4.619999999999999
0,29,4.609999999999999
0,30,4.6
0,31,4.539999999999999
0,32,4.48
0,33,4.42
0,34,4.359999999999999
0,35,4.300000000000001
0,36,4.24
0,37,4.18
0,38,4.119999999999999
0,39,4.0600000000000005
0,40,4.0
1,0,4.92
1,1,4.859999999999999
1,2,4.83
1,3,4.800000000000001
1,4,4.77
1,5,4.739999999999998
1,6,4.709999999999999
1,7,4.68
1,8,4.649999999999999
1,9,4.619999999999999
1,10,4.59
1,11,4.59
1,12,4.589999999999998
1,13,4.589999999999998
1,14,4.59
1,15,4.59
1,16,4.59
1,17,4.59
1,18,4.59
1,19,4.59
1,20,4.619999999999999
1,21,4.629999999999999
1,22,4.619999999999999
1,23,4.609999999999999
1,24,4.6
1,25,4.59
1,26,4.579999999999998
1,27,4.5699999999999985
1,28,4.559999999999999
1,29,4.549999999999999
1,30,4.539999999999999
1,31,4.479999999999999
1,32,4.42
1,33,4.359999999999999
1,34,4.299999999999999
1,35,4.239999999999998
1,36,4.18
1,37,4.119999999999999
1,38,4.059999999999999
1,39,4.0
1,40,3.960000000000001
2,0,4.84
2,1,4.779999999999999
2,2,4.719999999999999
2,3,4.6899999999999995
2,4,4.66
2,5,4.629999999999999
2,6,4.6
2,7,4.57
2,8,4.539999999999999
2,9,4.509999999999998
2,10,4.479999999999999
2,11,4.479999999999999
2,12,4.48
2,13,4.48
2,14,4.48
2,15,4.48
2,16,4.479999999999999
2,17,4.479999999999999
2,18,4.479999999999999
2,19,4.51
2,20,4.539999999999999
2,21,4.549999999999999
2,22,4.559999999999999
2,23,4.549999999999999
