,YYMMDDHHMI,STN,RN_HR1,RN_15M_MAX,RN_DAY
0,202208082100,10,0.0,0.0,1.0
1,202208082100,12,0.0,0.0,8.5
2,202208082100,15,3.0,1.0,10.0
3,202208082100,18,0.0,0.0,0.0
4,202208082100,30,-99.0,-99.0,-99.0
5,202208082100,31,-99.0,-99.0,-99.0
6,202208082100,32,-99.0,-99.0,-99.0
7,202208082100,62,0.0,0.0,0.0
8,202208082100,63,0.0,0.0,0.0
9,202208082100,87,0.0,0.0,0.0
10,202208082100,88,0.0,0.0,2.0
11,202208082100,90,4.3,1.5,19.1
12,202208082100,92,5.5,2.0,22.0
13,202208082100,93,1.0,0.7,91.8
14,202208082100,95,0.2,0.1,119.9
15,202208082100,96,0.0,0.0,0.0
16,202208082100,98,0.0,0.1,147.2
17,202208082100,99,-99.0,0.0,134.5
18,202208082100,100,3.5,1.4,18.4
19,202208082100,101,0.7,0.8,110.2
20,202208082100,102,0.0,0.0,16.6
21,202208082100,104,4.1,1.6,12.7
22,202208082100,105,2.7,1.0,9.5
23,202208082100,106,1.1,0.5,1.9
24,202208082100,108,1.9,0.8,92.4
25,202208082100,110,1.9,1.9,85.7
26,202208082100,112,11.8,24.0,189.6
27,202208082100,113,0.6,3.3,92.7
28,202208082100,114,3.0,1.2,29.1
29,202208082100,115,0.0,0.0,0.0
30,202208082100,116,45.0,22.0,125.0
31,202208082100,119,2.7,2.5,61.6
32,202208082100,121,1.7,0.8,16.7
33,202208082100,127,1.3,0.6,4.8
34,202208082100,128,0.0,0.0,1.8
35,202208082100,129,0.0,0.0,2.5
36,202208082100,130,0.0,0.0,0.0
37,202208082100,131,0.0,0.0,6.1
38,202208082100,133,0.0,0.0,0.0
39,202208082100,135,0.0,0.0,0.0
40,202208082100,136,0.0,0.0,0.0
41,202208082100,137,0.0,0.0,0.0
42,202208082100,138,0.0,0.0,0.0
43,202208082100,139,0.0,0.0,0.0
44,202208082100,140,0.0,0.0,0.0
45,202208082100,142,0.0,0.0,0.0
46,202208082100,143,0.0,0.0,0.0
47,202208082100,146,0.0,0.0,0.0
48,202208082100,151,0.0,0.0,0.0
49,202208082100,152,0.0,0.0,0.0
50,202208082100,153,0.0,0.0,0.0
51,202208082100,155,0.0,0.0,0.0
52,202208082100,156,0.0,0.0,0.0
53,202208082100,158,0.0,0.0,0.0
54,202208082100,159,0.0,0.0,0.0
55,202208082100,160,0.0,0.0,0.0
56,202208082100,161,0.0,0.0,0.0
57,202208082100,162,0.0,-99.0,0.0
58,202208082100,163,0.0,0.0,0.0
59,202208082100,165,0.0,0.0,0.0
60,202208082100,167,0.0,0.0,0.0
61,202208082100,168,0.0,0.0,0.0
62,202208082100,169,0.0,0.0,0.0
63,202208082100,170,-99.0,-99.0,-99.0
64,202208082100,172,0.0,0.0,0.0
65,202208082100,174,0.0,0.0,0.0
66,202208082100,175,0.0,0.0,0.0
67,202208082100,177,0.0,0.0,7.0
68,202208082100,181,0.0,0.0,7.4
69,202208082100,182,0.0,0.0,0.0
70,202208082100,184,0.0,0.0,0.0
71,202208082100,185,0.0,0.0,0.0
72,202208082100,188,0.0,0.0,0.0
73,202208082100,189,0.0,0.0,0.0
74,202208082100,192,0.0,0.0,0.0
75,202208082100,201,0.0,0.0,41.0
76,202208082100,202,3.3,2.1,86.1
77,202208082100,203,2.8,1.2,49.5
78,202208082100,211,5.8,5.8,68.4
79,202208082100,212,2.9,3.9,67.0
80,202208082100,216,0.4,0.3,1.8
81,202208082100,217,1.3,0.5,12.9
82,202208082100,221,3.4,1.6,25.2
83,202208082100,226,0.0,0.0,0.0
84,202208082100,229,0.0,0.0,2.0
85,202208082100,230,7.5,7.4,60.5
86,202208082100,232,0.0,0.1,9.1
87,202208082100,235,-99.0,-99.0,-99.0
88,202208082100,236,0.0,0.0,0.0
89,202208082100,238,0.0,0.0,0.0
90,202208082100,239,0.0,0.0,7.3
91,202208082100,243,0.0,0.0,0.0
92,202208082100,244,0.0,0.0,0.0
93,202208082100,245,0.0,0.0,0.0
94,202208082100,247,0.0,0.0,0.0
95,202208082100,248,0.0,0.0,0.0
96,202208082100,251,0.0,0.0,0.0
97,202208082100,252,0.0,0.0,0.0
98,202208082100,253,0.0,0.0,0.0
99,202208082100,254,0.0,0.0,0.0
100,202208082100,255,0.0,0.0,0.0
101,202208082100,257,0.0,0.0,0.0
102,202208082100,258,0.0,0.0,0.0
103,202208082100,259,0.0,0.0,0.0
104,202208082100,260,0.0,0.0,0.0
105,202208082100,261,0.0,0.0,0.0
106,202208082100,262,0.0,0.0,0.0
107,202208082100,263,0.0,0.0,0.0
108,202208082100,264,0.0,0.0,0.0
